"","logFC","logCPM","LR","PValue"
"SPU_017869",-0.526779958015204,5.92296274618868,0.360125392691999,0.548436603862667
"SPU_026298",-0.244188753756916,10.737683242892,0.341002940528432,0.559250876969922
"SPU_017381",-0.258796497608974,10.2185337207605,0.324488202976257,0.568922801680596
"SPU_018908",0.304121840757622,8.46492420530312,0.218491176136581,0.64019197904299
"SPU_018152",1.53011525449492,5.75979820364594,2.24227009538785,0.134283708835736
"SPU_022126",-0.274036661212341,7.29474840154917,0.0650288222714579,0.798717310750177
"SPU_022995",-0.0101701206419433,5.79392606514944,0.000525878548611303,0.981704481320571
"SPU_022846",2.28585637517256,6.93219149968394,5.25219304480847,0.0219191288747762
"SPU_025996",0.190327962232474,8.86014711386079,0.0940379253511736,0.759105195426696
"SPU_008042",0.99836527115906,5.78861822663206,1.05252948541489,0.304925242111337
"SPU_020407",-0.443846236564963,9.31677741524013,0.6035564613086,0.437224283291192
"SPU_020405",0.0160249722661646,8.76115487807281,0.000985387569705676,0.974957811447612
"SPU_010144",1.0871245516028,8.28671279946908,2.6536713532253,0.10331104671609
"SPU_024328",0.741215287993853,6.75718966344575,0.603093445310371,0.437400164759318
"SPU_024327",0.051319397271266,6.77478563936332,0.00215184762284437,0.963000991562307
"SPU_010651",-0.25434791005403,8.02615583357655,0.0788714453894599,0.778832658158786
"SPU_016851",-1.08710573559084,7.03335651418366,1.49731959442674,0.221084247132195
"SPU_000735",-0.357156736432094,8.82309409023709,0.338947899424475,0.560437144715441
"SPU_014128",1.18856403025611,7.77629296762764,2.87434100536642,0.0900018109245279
"SPU_022873",-0.225347887492655,8.85433900799448,0.165618652844028,0.684035371547114
"SPU_008749",-0.466815762646796,6.28287639917964,0.248688303313937,0.618000201446473
"SPU_005154",-2.08020968063007,7.54989504018229,5.48766248062194,0.0191511313027435
"SPU_022147",-0.123652020783825,6.63438266993024,0.0177676966923315,0.893959667421758
"SPU_022145",-0.146374559955049,9.59493481975162,0.096141739484592,0.756509767441122
"SPU_012109",0.372876161576539,5.88587916498935,0.157928010658459,0.691071355314237
"SPU_007262",-0.716573074400319,5.91276296887675,0.517994252372073,0.471698533120175
"SPU_028295",0.441019359436059,6.68875927706374,0.183213253261044,0.668626240858768
"SPU_021929",-2.65962889212712,7.5014434137818,4.7085590253999,0.0300127983542276
"SPU_023539",0.196682647049065,7.23756389854614,0.0576760349221477,0.810207497773894
"SPU_015554",1.25905936182492,6.58366416745542,2.3930964845461,0.121872015060806
"SPU_015555",0.308140111081379,7.62338176747296,0.175189015279365,0.675540747801371
"SPU_007587",0.500615329392692,7.00545453414286,0.250485826863294,0.616733199416647
"SPU_007588",0.152589563090969,8.20214163746458,0.0561061313309015,0.812759716814398
"SPU_013330",-0.0190803065276111,8.94148592980384,0.00140753075148137,0.970072727603689
"SPU_013331",-0.495393427904425,5.39833986834669,0.124764465868198,0.723923411772985
"SPU_018698",0.608416867225495,9.26012637861931,1.45937359775441,0.227029814189042
"SPU_016035",-0.43264714823934,8.13693580233425,0.341677321551167,0.55886263656576
"SPU_011363",1.7832807002243,6.95912844873182,3.67072462574636,0.055376103968835
"SPU_015985",0.293596507205535,8.78678601011639,0.262911088322285,0.608127214979488
"SPU_015984",-0.0153966221755536,7.14771507320158,0.00121548984194675,0.972188285955822
"SPU_008037",-0.100658300686431,6.88428712450021,0.00322541702464996,0.954710285267989
"SPU_004756",-0.262909037898251,9.43908777559203,0.253516704042523,0.614609671387148
"SPU_003629",1.55973179336466,6.26476911964051,2.21854477203703,0.136361537097653
"SPU_003832",0.62333836628507,8.64415798665415,1.03253981170145,0.309562884588488
