"","logFC","logCPM","LR","PValue"
"SPU_000890",-0.123031746237276,8.81279931960872,0.351571293610369,0.553225003802887
"SPU_018908",1.89715244707027,2.03654894107837,3.79221014714171,0.0514916153503681
"SPU_005079",-0.0685724537529281,8.58171253646458,0.105530421108366,0.745291223663557
"SPU_000889",-0.0237341282581259,8.30144809726681,0.0133016086034701,0.90818149976471
"SPU_010475",-0.0658005080469829,7.91427685489522,0.0905774790228797,0.763444290382555
"SPU_007719",-0.904166856654056,1.92048980573192,0.998012673499753,0.317791860999036
"SPU_007720",0.839815902134098,2.17284537665102,0.861989737015607,0.353182476273575
"SPU_017381",-1.6429906629604,1.10809184924638,1.89978432537116,0.16810246187234
"SPU_017380",0.146371051531633,6.05294371188511,0.15270985010433,0.695959063402057
"SPU_017379",0.119684606756178,6.57445847336195,0.158003337743993,0.691001487354583
"SPU_024524",0.413528334689353,4.08562740576183,0.508623263000002,0.47573544307372
"SPU_001457",0.141982489712686,4.66106236274297,0.0803414054914793,0.776835280817759
"SPU_016206",-0.084037088451596,6.15519704941329,0.056747884758551,0.811711904241027
"SPU_016207",0.243186054907581,3.17282371024789,0.111360769939241,0.738600205424221
"SPU_023624",1.39499162518917,1.35361546906222,1.03463395388163,0.309072764718338
"SPU_007060",0.911321941634129,2.6322995398654,1.25238599695384,0.263097253643376
"SPU_010134",0.14801962527683,5.53526001895858,0.127020903157517,0.721541089085419
"SPU_016141",-0.44486673763808,3.0706983110115,0.311551240790862,0.576729838442618
"SPU_016142",-0.480421976814578,4.10199311012196,0.475960424236781,0.49025779863426
"SPU_004871",-0.171389667514296,5.54237917336091,0.158299187995439,0.690727264517964
"SPU_025997",0.0939852383856387,6.33630370433082,0.0758040179221968,0.783066332754463
"SPU_022996",0.136195338599507,3.32856386431625,0.0272008369386931,0.869001627536434
"SPU_022997",0.508883867233384,5.41066524271004,0.806906675164093,0.369036376363961
"SPU_022846",-0.59661367300178,5.18519568540239,1.41930467538517,0.233517883988633
"SPU_027716",0.510327289161992,6.78645597041623,2.50101678514951,0.113772821819052
"SPU_008047",-0.996996620762023,5.30922611848169,3.03437711752016,0.0815178309036891
