"","logFC","logCPM","LR","PValue"
"SPU_000890",-0.159834648264889,8.99435878823281,0.547019230461967,0.459538199182693
"SPU_018908",1.88297754338437,2.32102991084683,3.39676351788228,0.0653244745263378
"SPU_005079",-0.0682563339943947,8.86426728244251,0.098105127805475,0.754115514152719
"SPU_000889",-0.0237883909565138,8.58369445400629,0.0125243194556592,0.910893097754247
"SPU_010475",-0.0658908587362469,8.19639667666253,0.083927482483233,0.772043917564163
"SPU_007719",-0.920554555327077,2.20519290420042,0.90740679091021,0.340803410906965
"SPU_007720",0.840136121100251,2.45331578705442,0.77807728800674,0.377729819203434
"SPU_017380",0.6223331305711,4.73284440394805,1.10302115879248,0.293604041000856
"SPU_017379",0.0921613811453743,6.2489268028467,0.0637952526650478,0.800594934240882
"SPU_0008902",0.795557443733897,5.2208281200552,2.06558341590318,0.150657261989471
"SPU_024524",0.413588705040861,4.36773866173045,0.482237428840412,0.487410597447144
"SPU_001457",0.889316168937645,4.5797485795799,2.23190487721955,0.135187089655792
"SPU_016206",-0.2379411253529,4.99288935040559,0.190347744425014,0.662627350352404
"SPU_016207",0.243345918200578,3.45450633372071,0.107400377212185,0.743123404423244
"SPU_010134",0.148241738842253,5.81790731340771,0.126002543476623,0.722613287505351
"SPU_016141",1.29085452616689,1.87205271627656,1.60557744632058,0.205114592782908
"SPU_016142",-0.475462114446349,4.38332634654822,0.446413673214746,0.504042982400844
"SPU_004871",-0.170749047172484,5.82505043671058,0.15529431727494,0.693526406255788
"SPU_0259970",-1.02438367979334,2.76003507537965,1.1737606856453,0.278629866159513
"SPU_022996",-0.203479446680462,2.92692182801685,0.0500117181039759,0.8230428846451
"SPU_025997",0.390697818756897,2.28804744367665,6.08247464383047e-09,0.999937772806464
"SPU_027716",0.510325042082408,7.06871206122492,2.4291187389742,0.119099837386979
"SPU_003180",0.377757149901875,6.64373949082232,1.53728092065069,0.215022988856227
"SPU_0025524",-0.763888939017197,3.94976138755744,1.1871151239953,0.275912243239273
"SPU_0025523",-0.403658796274132,2.06492821193342,0.176186563345595,0.674671139889485
"SPU_020405",-0.489970584990926,1.06313872218755,0.213166376244235,0.644296870124996
"SPU_016378",-0.676996548761239,3.2297120581588,0.485652575155783,0.485873027078121
"SPU_012370",-0.14576957176948,6.39271983071638,0.190018112813337,0.662901542808942
"SPU_015551",0.247523048628774,9.29197534268859,1.34998806398741,0.245280203487143
"SPU_0155510",-0.136116497878284,5.00780850315834,0.0286025734232105,0.865699930652006
"SPU_020407",-2.89362493327214,3.64400069323405,9.93901557516777,0.00161812059932227
