"","logFC","logCPM","LR","PValue"
"SPU_017869-tr-E1",-0.548439561304921,6.65099566464119,0.963925316408412,0.326199874655273
"SPU_009346-tr-E2",-0.0118122544136866,5.87998763725667,1.8246313807424e-05,0.996591790280305
"SPU_013378-tr-E1",-0.150935576750745,8.43928409935866,0.123733586819277,0.725019869683747
"SPU_026298-tr-E1",-0.0264332365450489,6.49853266479053,0.00208131226753849,0.963612011063582
"SPU_017381-tr-E2",-1.61927047744369,3.05509412161815,1.6752279174561,0.195559758709161
"SPU_017380-tr-E1",-0.3839850586065,7.42825289833481,0.525838166974726,0.468361855291913
"SPU_017379-tr-E2",0.183961884226107,6.99140847549854,0.108528077967253,0.741826161067732
"SPU_018910-tr-E1",0.215849758318165,5.61422640962098,0.0656701147903096,0.797748684758746
"SPU_018910-tr-E2",0.172946953565213,7.15608439898399,0.103572879071278,0.747583451179861
"SPU_001457-tr-E1",1.10002630433392,4.51778282586479,1.48292412552927,0.223317575591845
"SPU_016206-tr-E2",0.0700204204314002,7.44700281641551,0.0192298954774501,0.889709425133791
"SPU_023624-tr-E4",1.35759045984143,3.30252750983197,0.892506216892929,0.344799049418663
"SPU_007060-tr-E1",0.908517183404942,4.57788764427712,1.06243526930447,0.302660412997544
"SPU_016141-tr-E2",-2.57573242275707,4.46150027284854,6.25446055593256,0.0123880966847938
"SPU_022996-tr-E5",-0.374341982149671,3.98576008259557,0.775372049893252,0.378560279125183
"SPU_022997-tr-E1",0.490324967397928,7.36296833436106,0.603798369698438,0.437132434879527
"SPU_022846-tr-E1",-0.59395810543313,7.12732404881937,1.1296297692978,0.287854323530448
"SPU_025997-tr-E21",0.980820667712721,6.8657090299769,2.27731436871299,0.131279023775685
"SPU_025997-tr-E13",-0.11883920233473,5.80439850219715,0.0263304544305321,0.871095903385217
"SPU_025997-tr-E7",0.353304300101144,5.43853527175554,0.14653750781518,0.70186644614739
"SPU_025997-tr-E3",-0.057395015957187,6.0055347831942,0.00545481708301354,0.94112438344296
"SPU_025996-tr-E1",0.960391107216396,7.89165586380701,3.68600584488622,0.0548708663870108
"SPU_008047-tr-E4",-1.02360634379525,7.25274086794098,2.67448163768467,0.101968522480315
"SPU_025329-tr-E3",0.011200998361719,3.37607096613613,3.75447421916419e-05,0.995111091522413
"SPU_013698-tr-E5",1.12041819895411,5.28903952305506,1.15337785646012,0.282843160763603
"SPU_015551-tr-E9",-0.401632447687617,5.9312234454156,0.298073148377226,0.585092912732904
"SPU_015551-tr-E11",0.75588750447594,7.44451187510528,1.77913310795189,0.182255811823908
"SPU_002552-tr-E16",0.204231695407541,7.25145206734433,0.124770600360744,0.723916902312588
"SPU_002552-tr-E9",0.158352972670866,5.20343444606022,0.0386999870444278,0.84404421428962
"SPU_002551-tr-E6",0.790199764364753,5.14050085898094,0.679956142687427,0.409601826635394
"SPU_024871-tr-E1",-0.000609339369278977,6.02255668931116,7.05920252030978e-07,0.999329624967343
"SPU_012936-tr-E18",-0.418348227457202,4.61127320920354,0.16901428291326,0.680989335426684
"SPU_018549-tr-E25",0.908778807795347,3.01754783358494,0.355996030437787,0.550738390856393
"SPU_018549-tr-E24",-1.32581177397487,5.07334050969244,1.70101849578847,0.192154833930749
"SPU_010144-tr-E2",1.67652311534685,7.08306813868636,8.02226488154181,0.00462057512850189
"SPU_017929-tr-E2",1.18900902455807,6.04420668630934,2.14562743150194,0.14297657329624
"SPU_007412-tr-E3",0.50821350352465,6.52032327511214,0.733760396478653,0.391667006590607
"SPU_006873-tr-E2",-0.853561592356078,5.35448508668628,0.887978796589817,0.346025623164015
"SPU_006872-tr-E15",1.23395946320778,7.13642204710531,5.09589025944153,0.023982600854093
"SPU_006872-tr-E13",2.26458441518354,3.44977904502179,3.04284673512028,0.0810935917997955
"SPU_023177-tr-E1",1.11237538388965,6.10839018250357,1.87305359921844,0.171125756398091
"SPU_014289-tr-E1",0.608905271623445,7.10655627797586,1.14442458405789,0.284719328254697
"SPU_014289-tr-E2",0.439447057014044,7.984407570931,0.781206046319825,0.37677254159366
"SPU_014291-tr-E7",2.337102290242,4.32181928869902,5.19444527119837,0.0226591859369208
"SPU_004874-tr-E13",-0.219366344579713,6.54314507412026,0.115068743982603,0.734445629689202
"SPU_005707-tr-E3",-0.0692460176939862,5.94288187497696,0.0108932395417543,0.916875186897304
"SPU_005708-tr-E9",-0.889913203013911,6.83915588805665,1.97287709867877,0.160142805056986
"SPU_000902-tr-E1",0.789420028421876,7.25454773597682,1.83659676312738,0.175350351768377
"SPU_000555-tr-E2",-3.82160285200216,3.87006840956129,9.73741044901952,0.00180555083202476
"SPU_003475-tr-E3",-0.0327320575092778,4.86241036053468,0.000891669760145319,0.976178037136261
"SPU_003476-tr-E4",0.0366457482938256,6.28249371538258,0.00289934333288278,0.957058217905452
"SPU_007717-tr-E7",2.5358177241767,3.05944653736701,3.84813287979885,0.049801401022495
"SPU_007717-tr-E6",0.215457380591013,5.44123207353118,0.0417340644695905,0.838127533581488
"SPU_021904-tr-E12",0.215318451598312,4.48003647860564,4.70885945575628e-09,0.999945248260027
"SPU_023242-tr-E4",0.560510034912085,5.40738988675223,0.405976448603511,0.524018798277095
"SPU_027955-tr-E3",-2.21234183529489,4.04392706975967,3.42572178177331,0.0641881788685477
"SPU_003606-tr-E4",-0.548636200353908,5.74581293102651,0.400665264706461,0.526745886368973
"SPU_003606-tr-E6",0.0850300942515663,6.2546561482272,0.00605721433023731,0.937964787636803
"SPU_009825-tr-E2",0.213292105015069,6.62392801726253,0.112643474131325,0.737154418065917
"SPU_024327-tr-E1",0.259037055656686,3.79733080397036,0.0805097824459899,0.776607754601645
"SPU_026360-tr-E3",-0.173363948958351,5.29874067243202,0.0230854366082873,0.879235107810913
"SPU_010651-tr-E1",-0.198391111092851,8.0578230864586,0.198574139306359,0.655874229590224
"SPU_007923-tr-E2",-0.501722505419672,7.0534738731597,0.558548642244283,0.454845608391426
"SPU_007923-tr-E4",1.85800116714674,4.91732334626832,3.65491203578008,0.0559041070937865
"SPU_026111-tr-E6",0.38806455054646,4.57175957600145,0.162486972810722,0.686877066945575
"SPU_026111-tr-E4",-0.0032349756150512,4.29724916929696,3.65050361734731e-05,0.995179258871171
"SPU_008177-tr-E15",-0.19137842436014,4.79707359553697,0.0334366288914048,0.854910337888512
"SPU_021308-tr-E3",0.810781252394381,6.00697306379331,1.4468516394113,0.229033806177599
"SPU_021308-tr-E11",-2.26409449608282,7.30293573457496,14.25456306365,0.000159673210999456
"SPU_023029-tr-E4",-0.0864445016707486,6.75237892390232,0.0165615649635384,0.897601568450166
"SPU_027832-tr-E7",0.111459381415947,7.37765378322505,0.0530913689216161,0.817768806144314
"SPU_027832-tr-E2",-1.08722380291778,7.0856230851428,3.00516987421922,0.0829992763095087
"SPU_011559-tr-E4",-0.722241954972688,7.2327907480818,2.03925011342448,0.153285195708125
"SPU_022148-tr-E1",1.78817394356146,5.45945447185406,3.72277304347724,0.0536751584976735
"SPU_011603-tr-E2",0.03219923087049,3.75396605037538,0.0102268293930905,0.919449019925483
"SPU_027771-tr-E1",0.348228470129364,5.77892664586902,0.198930050282172,0.655585868160204
"SPU_004514-tr-E1",-0.37770762253511,4.88850713962263,0.157040461105637,0.691896038887731
"SPU_004513-tr-E2",3.01213149349953,3.26514940075053,4.82161675414763,0.0281049717091282
"SPU_014791-tr-E15",-0.559671492767451,5.6976830381567,0.398353113045172,0.527941005720558
"SPU_014791-tr-E9",1.17255835264812,5.48560565004347,1.72461767941843,0.189099731744606
"ENSRNA022745286-E1",0.760367387042301,6.82930629624947,1.26072255790643,0.261514364548861
"ENSRNA022745299-E1",1.88797914469591,6.32747162511744,5.13207237116923,0.0234876678755966
"SPU_021929-tr-E1",0.626608183640894,6.22883413438979,0.713296933958079,0.398351477693264
"SPU_015557-tr-E4",-0.356879992029093,6.56892661784368,0.384320305664179,0.535300103034257
"SPU_027486-tr-E4",0.58648366455196,5.00868282451573,0.325539145936315,0.568297682608407
"SPU_019632-tr-E7",-0.0529095067578862,5.94534370985987,0.00662206156281187,0.935142895021519
"SPU_019632-tr-E12",0.450397215677751,6.88996675299253,0.482315568495276,0.487375327200697
"SPU_019632-tr-E25",-1.96749666805849,5.84758993925857,4.58303507127115,0.0322899734230165
"SPU_000159-tr-E11",-0.174318336729677,6.15939052866763,0.0707810082262466,0.79020300925656
"SPU_000159-tr-E14",1.91837746992359,6.81089186529382,9.62925075880327,0.00191502713985781
