"","logFC","logCPM","F","PValue"
"transcript:SPU_017128-tr",-0.0693925346386209,4.64871631432424,0.566053254721737,0.452853013584213
"transcript:SPU_010035-tr",-0.102003043667869,2.87514022512079,0.419343903088823,0.518122199478263
"transcript:SPU_001332-tr",-0.121640166425077,5.47561080530372,2.48443513389655,0.116802755576423
"transcript:SPU_010036-tr",-0.97047748633127,-0.0429488158937717,5.02486931030361,0.0262557530114887
"transcript:SPU_009849-tr",-0.0316318007463412,8.428392864167,0.29147979174656,0.5899674076645
"transcript:SPU_025520-tr",0.138600022058046,5.96152419985622,3.6243952334351,0.0585967760271808
"transcript:SPU_025806-tr",-0.620540091909517,2.97265551696087,15.5091232024965,0.000121084917416471
"transcript:SPU_006634-tr",-0.356920320691535,2.88594160209095,5.22830785862526,0.0234329795542015
"transcript:SPU_006635-tr",-0.0910656267427837,4.70429040216589,1.02557250281154,0.312613751363471
"transcript:SPU_023603-tr",0.183574901065716,2.70473222042129,1.28722010668669,0.258128961936384
"transcript:SPU_023604-tr",-0.0481153719907443,2.2076074860112,0.0632629980484138,0.801709285320413
"transcript:SPU_007234-tr",-0.0107897553257933,3.76502741956372,0.00809522274116811,0.928412290969911
"transcript:SPU_007233-tr",-0.249774665607169,2.41572683842489,1.94032326502177,0.165419124732557
"transcript:SPU_002656-tr",-0.348279802022931,2.01290340887883,2.72230905216143,0.101113855864654
"transcript:SPU_002657-tr",0.263814652298246,2.84011563443054,2.99727169679786,0.0851859506400366
"transcript:SPU_002655-tr",0.171109714540741,6.80079606399699,7.05993019450614,0.00861993825341116
"transcript:SPU_002654-tr",-0.333514965821951,1.13324101343824,1.48446414488191,0.224734720903291
"transcript:SPU_002660-tr",-0.052932434231287,5.20849645985691,0.421614395763808,0.516992898696625
"transcript:SPU_015568-tr",0.10011906291409,4.36158676418667,1.05146439064025,0.306600342350494
"transcript:SPU_013393-tr",-0.0219446915651323,3.85787880593217,0.0347552918572614,0.852357380731377
"transcript:SPU_006396-tr",-0.194340032341019,2.22413914733562,0.969419954594726,0.326492305868239
