geneid,binom
SPU_000502,0
SPU_000503,0
SPU_000506,0
SPU_000508,0
SPU_000510,0
SPU_000512,0
SPU_000513,0
SPU_000514,0
SPU_000516,0
SPU_000517,0
SPU_000518,0
SPU_000519,0
SPU_000522,0
SPU_000523,0
SPU_000525,0
SPU_000527,0
SPU_000528,0
SPU_000529,0
SPU_000530,0
SPU_000531,0
SPU_000532,0
SPU_000533,0
SPU_000535,0
SPU_000536,0
SPU_000537,0
SPU_000538,0
SPU_000540,0
SPU_000542,0
SPU_000543,0
SPU_000544,0
SPU_000545,0
SPU_000547,0
SPU_000551,0
SPU_000552,0
SPU_000554,0
SPU_000555,0
SPU_000560,0
SPU_000561,0
SPU_000563,0
SPU_000565,0
SPU_000566,0
SPU_000567,0
SPU_000568,0
SPU_000569,0
SPU_000570,0
SPU_000572,0
SPU_000573,0
SPU_000576,0
SPU_000577,0
SPU_000578,0
SPU_000580,0
SPU_000581,0
SPU_000582,0
SPU_000583,0
SPU_000584,0
SPU_000585,0
SPU_000586,0
SPU_000589,0
SPU_000590,0
SPU_000591,0
SPU_000592,0
SPU_000593,0
SPU_000595,0
SPU_000597,0
SPU_000599,0
SPU_000602,0
SPU_000603,0
SPU_000605,0
SPU_000607,0
SPU_000610,0
SPU_000611,0
SPU_000612,0
SPU_000614,0
SPU_000615,0
SPU_000619,0
SPU_000620,0
SPU_000621,0
SPU_000622,0
SPU_000625,0
SPU_000626,0
SPU_000627,0
SPU_000628,0
SPU_000629,0
SPU_000630,0
SPU_000631,0
SPU_000634,0
SPU_000635,0
SPU_000636,0
SPU_000638,0
SPU_000639,0
SPU_000640,0
SPU_000641,0
SPU_000642,1
SPU_000643,0
SPU_000645,1
SPU_000646,0
SPU_000649,0
SPU_000650,0
SPU_000652,0
SPU_000653,0
SPU_000654,0
SPU_000656,0
SPU_000658,0
SPU_000659,0
SPU_000660,0
SPU_000661,0
SPU_000662,0
SPU_000669,1
SPU_000671,0
SPU_000672,0
SPU_000675,1
SPU_000676,0
SPU_000680,0
SPU_000681,0
SPU_000682,0
SPU_000683,0
SPU_000684,0
SPU_000687,0
SPU_000688,0
SPU_000689,0
SPU_000691,0
SPU_000692,0
SPU_000693,0
SPU_000694,0
SPU_000696,0
SPU_000697,0
SPU_000699,0
SPU_000700,0
SPU_000701,0
SPU_000702,0
SPU_000704,0
SPU_000705,0
SPU_000707,0
SPU_000709,0
SPU_000710,0
SPU_000711,0
SPU_000712,0
SPU_000713,0
SPU_000714,0
SPU_000715,0
SPU_000716,0
SPU_000718,0
SPU_000719,0
SPU_000720,0
SPU_000722,0
SPU_000723,0
SPU_000725,0
SPU_000728,0
SPU_000729,0
SPU_000730,0
SPU_000731,0
SPU_000732,0
SPU_000733,0
SPU_000735,0
SPU_000736,0
SPU_000737,0
SPU_000738,0
SPU_000740,0
SPU_000742,0
SPU_000743,0
SPU_000745,0
SPU_000746,0
SPU_000751,0
SPU_000752,0
SPU_000758,0
SPU_000759,0
SPU_000760,0
SPU_000763,0
SPU_000764,0
SPU_000765,0
SPU_000767,0
SPU_000769,0
SPU_000771,0
SPU_000772,0
SPU_000774,0
SPU_000775,0
SPU_000776,0
SPU_000777,0
SPU_000778,0
SPU_000780,0
SPU_000781,0
SPU_000783,0
SPU_000786,0
SPU_000790,0
SPU_000791,0
SPU_000792,0
SPU_000794,0
SPU_000796,0
SPU_000797,0
SPU_000798,0
SPU_000799,1
SPU_000800,0
SPU_000801,0
SPU_000802,0
SPU_000803,0
SPU_000804,0
SPU_000805,0
SPU_000808,0
SPU_000810,0
SPU_000811,1
SPU_000812,0
SPU_000814,0
SPU_000816,0
SPU_000818,0
SPU_000820,0
SPU_000824,0
SPU_000825,0
SPU_000826,0
SPU_000827,0
SPU_000828,0
SPU_000830,0
SPU_000831,0
SPU_000832,0
SPU_000835,0
SPU_000836,0
SPU_000837,0
SPU_000838,0
SPU_000840,0
SPU_000841,0
SPU_000842,0
SPU_000846,0
SPU_000847,0
SPU_000850,0
SPU_000851,0
SPU_000852,0
SPU_000856,1
SPU_000859,0
SPU_000860,0
SPU_000861,0
SPU_000862,0
SPU_000863,0
SPU_000865,0
SPU_000866,0
SPU_000867,0
SPU_000868,0
SPU_000872,0
SPU_000876,0
SPU_000878,0
SPU_000880,0
SPU_000882,0
SPU_000883,0
SPU_000884,0
SPU_000886,0
SPU_000890,0
SPU_000893,0
SPU_000895,1
SPU_000896,0
SPU_000897,0
SPU_000898,0
SPU_000900,0
SPU_000901,0
SPU_000902,0
SPU_000903,0
SPU_000904,0
SPU_000905,0
SPU_000908,0
SPU_000909,0
SPU_000910,0
SPU_000911,0
SPU_000912,0
SPU_000913,0
SPU_000914,0
SPU_000916,0
SPU_000917,0
SPU_000918,0
SPU_000919,0
SPU_000923,0
SPU_000924,0
SPU_000925,1
SPU_000927,0
SPU_000928,0
SPU_000929,0
SPU_000930,0
SPU_000931,0
SPU_000934,0
SPU_000937,0
SPU_000939,0
SPU_000940,0
SPU_000942,0
SPU_000943,0
SPU_000944,0
SPU_000948,0
SPU_000950,0
SPU_000951,0
SPU_000952,0
SPU_000956,0
SPU_000957,0
SPU_000959,0
SPU_000960,0
SPU_000961,0
SPU_000964,0
SPU_000966,0
SPU_000967,0
SPU_000968,0
SPU_000970,0
SPU_000971,0
SPU_000973,0
