geneid,logFC
SPU_019539,0.067385254
SPU_019538,-0.240069217
SPU_019537,0.035035061
SPU_004804,0.048370925
SPU_0048051,-0.206377222
SPU_028571,0.095585068
SPU_006812,0.328151573
SPU_0016082,-0.156048591
SPU_001054,-0.546298955
SPU_025077,0.775792166
SPU_027513,0.954424569
SPU_014456,0.040151286
SPU_016794,0.333184264
SPU_024332,0.546085092
SPU_016045,-0.427726751
SPU_028790,1.778641905
SPU_004698,-0.096983048
SPU_004697,-0.007871088
SPU_0189334,-1.501827633
SPU_0189323,-0.636445562
SPU_018932,-0.654701197
SPU_026472,0.441344456
SPU_001068,-0.094144761
SPU_001071,0.444414437
SPU_0010698,-0.107961961
SPU_005881,-1.101386118
SPU_005879,0.411040147
SPU_005878,0.309885047
SPU_0168073,-0.612322479
SPU_004110,0.741653992
SPU_000047,0.004298094
SPU_016807,-1.062988513
SPU_022169,-0.90901071
SPU_000048,-2.305624416
SPU_000049,0.275131932
SPU_0000491,0.295270499
SPU_000050,-0.098639286
SPU_000051,0.332723097
SPU_023212,-0.464686595
SPU_012518,-0.887881661
SPU_012516,0.820619882
SPU_002366,-0.650031619
SPU_003158,0.405122309
SPU_012514,0.103020741
SPU_023216,0.63649793
SPU_009013,-1.013478838
SPU_009014,-0.029240087
SPU_025129,-0.379747552
SPU_008537,0.212548134
SPU_019346,0.027799743
SPU_008650,0.3278018
SPU_0284385,0.51109614
SPU_0284387,0.051391328
SPU_008538,-0.224242134
SPU_016903,0.357066163
SPU_011073,-2.427506394
SPU_006092,-1.483812845
SPU_026049,1.053881638
SPU_002093,-0.278127467
SPU_011225,-0.065312375
SPU_015162,1.861853176
SPU_015161,0.645253253
SPU_005239,0.352567953
SPU_025078,-0.09030348
SPU_0006212,-1.294077964
SPU_0006210,-1.020074353
SPU_000621,-0.149588496
SPU_000662,-0.827374221
SPU_006567,0.250352616
SPU_021992,-0.009194046
SPU_004333,-1.411949857
SPU_0043335,1.454854171
SPU_004866,0.1593765
SPU_022725,0.538224717
SPU_0068400,-0.655685365
SPU_016842,0.073103869
SPU_004865,-1.685298291
SPU_008647,0.347419773
SPU_018717,0.077564523
SPU_018716,-0.143426941
SPU_006839,0.531896757
SPU_023330,-0.687152429
SPU_024645,-0.205466811
SPU_023329,0.668936814
SPU_0128774,0.253604453
SPU_0128776,0.05984226
SPU_0128778,0.793010117
SPU_017853,0.749350449
SPU_015558,-0.774506329
SPU_021156,0.317691645
SPU_014121,1.250197725
SPU_017916,-0.260311953
SPU_005241,-0.140939385
SPU_017339,0.098778237
SPU_003574,-0.639053649
SPU_0179160,-0.746449943
SPU_0179162,0.573818072
SPU_012698,1.0945515
SPU_014092,-0.015589527
SPU_0140920,-0.22848538
SPU_0243630,-1.056891117
SPU_024363,0.894219047
SPU_0229055,-0.214945954
SPU_0229054,-0.249581597
SPU_0229052,-0.06559756
SPU_0229050,-0.262511876
SPU_022905,0.159269416
SPU_011337,0.678940804
SPU_016418,0.853638608
SPU_026599,0.146253428
SPU_0167163,-0.199024373
SPU_016716,0.021559869
SPU_011338,-0.325703875
SPU_004599,0.148865472
SPU_006159,0.472461797
SPU_0280494,1.70082515
SPU_0280490,5.928204324
SPU_028049,0.176596173
SPU_0280480,0.105914636
SPU_013409,-0.284734076
SPU_016671,0.064802447
SPU_028711,0.191447341
SPU_010202,-0.542519488
SPU_019320,-1.270015517
SPU_014164,0.984168937
SPU_028710,0.248113728
SPU_008337,-0.559675008
SPU_025116,0.157845359
SPU_021099,-1.568093486
SPU_017286,1.059086473
SPU_017284,-0.430386021
SPU_020301,-0.338075838
SPU_013543,-0.279417216
SPU_025419,-0.364039744
SPU_013580,2.047162255
SPU_028025,0.486735821
SPU_028023,0.451091653
SPU_028024,-0.954668117
SPU_027609,0.079052532
SPU_019434,-0.463899276
SPU_017412,0.165977406
SPU_017410,-0.086317101
SPU_017409,0.854460826
SPU_002985,2.898463596
SPU_017413,-0.765250504
SPU_0174131,0.448548062
SPU_0174133,-0.33379748
SPU_0174138,0.191116903
SPU_017414,0.062142317
SPU_0174140,0.291852077
SPU_0174141,0.680772033
SPU_0174142,-1.386465326
SPU_004774,-0.456524757
SPU_006668,-0.613423418
SPU_008351,-0.131095759
SPU_006105,0.087866312
SPU_0259415,1.9132414
SPU_0212280,-2.381523015
SPU_0212287,-1.358087842
SPU_021229,-0.256790598
SPU_0212290,-0.203751104
SPU_008966,0.260274454
SPU_019581,-1.683174468
SPU_019579,-3.075841342
SPU_0089260,0.125793069
SPU_008926,0.131830386
SPU_006104,0.81206901
SPU_006107,-0.849679624
SPU_0061072,-0.160557577
SPU_0061074,0.594427811
SPU_006108,0.394005682
SPU_025578,-0.116343971
SPU_028862,-0.231819697
SPU_005054,-0.671370369
SPU_028864,0.204476009
SPU_001765,-1.208229788
SPU_028863,0.046855369
SPU_021860,-2.421900322
SPU_023289,0.393513456
SPU_010131,-0.388666237
SPU_002147,1.004565548
SPU_023288,-0.11495185
SPU_009615,-0.523223813
SPU_015530,0.148616345
SPU_017236,-0.370314167
SPU_019212,1.394135666
SPU_004861,0.285870027
SPU_0048615,-0.543319091
SPU_019214,0.276777925
SPU_016681,-0.209398522
SPU_003300,0.29611327
SPU_028781,-3.622264211
SPU_016685,0.249293354
SPU_016684,-1.496149994
SPU_019418,-0.121130189
SPU_016683,-0.503822506
SPU_0166815,-0.060545355
SPU_0166816,0.821912701
SPU_0166818,0.343976423
SPU_0166813,-0.247525413
SPU_0166817,0.400138858
SPU_000545,-0.553697999
SPU_0005456,-0.106795011
SPU_0005457,-0.029776657
SPU_0005455,-0.289902355
SPU_0005454,-0.053743707
SPU_0005453,-0.136913398
SPU_027441,-1.059815804
SPU_0185792,-0.215464767
SPU_0185794,0.845573474
SPU_010823,-0.421672522
SPU_018579,-1.508190837
SPU_0185796,0.869798317
SPU_000343,0.013138094
SPU_016509,1.342482531
SPU_0152098,-0.587485317
SPU_024575,0.171981183
SPU_018312,0.40010856
SPU_024576,-1.084262967
SPU_0263762,2.521205152
SPU_000459,-0.331546616
SPU_000458,-0.449157807
SPU_017499,-0.278261219
SPU_024547,0.578080282
SPU_018309,0.201221451
SPU_015415,0.138922449
SPU_007745,-0.35628811
SPU_001917,2.169246901
SPU_019859,-0.75769937
SPU_020525,-0.377483298
SPU_021060,0.083709514
SPU_0251100,1.002082845
SPU_021815,-0.77445466
SPU_008079,0.774723368
SPU_017987,0.074226804
SPU_012674,2.138195841
SPU_025110,-0.021954054
SPU_013712,-0.373121862
SPU_027283,0.074064137
SPU_011434,0.139055373
SPU_007217,0.395964635
SPU_024779,0.311290916
SPU_015674,-1.120515674
SPU_025963,-0.137424833
SPU_015642,1.200258357
SPU_021779,-0.35227678
SPU_009954,-0.626858837
SPU_022800,0.996054001
SPU_022242,-0.522649135
SPU_007739,-0.68133021
SPU_015673,0.140068783
SPU_0156740,-0.598469381
SPU_0156742,1.348812581
SPU_015677,-0.132099541
SPU_0259630,-0.11894826
SPU_009774,-0.594291815
SPU_021716,-0.329340874
SPU_012685,-0.031831985
SPU_0092427,0.883325173
SPU_0092424,-0.63346919
SPU_0092421,-0.017851419
SPU_0092429,-0.253847773
SPU_0092428,4.422603041
SPU_0092425,0.371434843
SPU_009242,0.181893774
SPU_020931,0.692082492
SPU_0209312,-0.458440199
SPU_0209313,0.454703975
SPU_0209314,-0.194090387
SPU_0126850,0.424097134
SPU_021728,2.072368665
SPU_012684,0.075201891
SPU_020799,0.21604091
SPU_016992,1.062209964
SPU_022794,-0.578104782
SPU_0061110,-1.33972286
SPU_028214,-0.044046727
SPU_007266,2.879864129
SPU_007267,1.58491007
SPU_014170,1.302603753
SPU_004261,0.318740209
SPU_004260,0.835797134
SPU_018177,-0.201477159
SPU_022977,-0.313540504
SPU_026233,0.039723534
SPU_012044,-0.12192974
SPU_008389,-1.040721798
SPU_019032,-0.741309872
SPU_0190324,-2.560439513
SPU_0190326,-0.161581539
SPU_022057,0.17313579
SPU_001235,0.280281204
SPU_0012357,-0.683965931
SPU_0012355,-0.125191662
SPU_0012359,0.373451942
SPU_0190329,0.047455761
SPU_0220574,1.321235746
SPU_022056,-1.172474524
SPU_0220572,0.009761207
SPU_024708,-0.144531578
SPU_006169,0.252336797
SPU_024709,0.078645615
SPU_006171,-0.679078687
SPU_008021,-0.327129067
SPU_013344,0.26051314
SPU_013811,-0.346269507
SPU_013817,-0.074190562
SPU_013744,-1.271857515
SPU_013818,0.717720676
SPU_009095,0.712537918
SPU_026460,-0.130902638
SPU_001448,-1.150684303
SPU_017649,-0.673352018
SPU_0005445,0.51515152
SPU_0005440,0.187163693
SPU_000544,-0.227669268
SPU_0012000,0.110132575
SPU_001200,2.53676308
SPU_0011982,-1.195933635
SPU_001198,-0.959651825
SPU_006284,-0.171220458
SPU_024886,0.379638104
SPU_006285,-0.297956118
SPU_028575,0.522828082
SPU_003777,-0.135907116
SPU_018168,-0.324954056
SPU_028232,0.302329751
SPU_001349,-0.205262364
SPU_0044731,0.099648145
SPU_0044730,0.035609906
SPU_004473,-0.016994934
SPU_016645,-0.026697247
SPU_000356,-0.668426672
SPU_009060,0.320343687
SPU_012874,0.059574811
SPU_0124668,-0.431223089
SPU_0124669,0.81052459
SPU_012870,0.579245273
SPU_012466,4.578966114
SPU_012477,0.269527769
SPU_012475,0.642755469
SPU_012471,0.421174722
SPU_021141,0.008278968
SPU_0128708,0.256648982
SPU_012871,0.588730027
SPU_012873,-0.137874947
SPU_009805,0.339072163
SPU_0045623,-1.428764756
SPU_025803,-0.056568491
SPU_010655,-0.112425294
SPU_016088,0.811915777
SPU_0160883,1.499783924
SPU_0160886,-1.11516576
SPU_004175,-0.154597079
SPU_022028,0.194370874
SPU_019535,0.143110087
SPU_010788,0.184628749
SPU_0107880,2.234726721
SPU_016936,-1.029804773
SPU_0169362,-1.831343728
SPU_0169364,-0.013473756
SPU_016938,0.481154392
SPU_019536,0.538224451
SPU_002129,0.29687869
SPU_025017,-0.072247483
SPU_025018,0.247596403
SPU_019295,-0.146107185
SPU_024033,-0.431354297
SPU_014405,0.394185562
SPU_014406,1.253836816
SPU_0126837,-0.169592769
SPU_020488,-0.168405612
SPU_018544,0.315860326
SPU_018543,0.540921902
SPU_009742,-1.024796923
SPU_017239,0.793437804
SPU_000417,-0.773528586
SPU_006530,-0.492837806
SPU_021600,0.082194262
SPU_022750,0.44648317
SPU_0119330,0.609128786
SPU_0119335,1.666227152
SPU_0119332,0.573276181
SPU_0119331,0.299086053
SPU_011933,0.317945583
SPU_0216003,-0.813429204
SPU_0216001,0.240235444
SPU_0216009,0.068178885
SPU_0216008,-2.787678645
SPU_0216007,-0.489911965
SPU_0216006,-0.523946941
SPU_0216005,-0.572293673
SPU_0216004,-0.956060347
SPU_0216002,0.433954632
SPU_003304,0.051409442
SPU_028717,-0.281341633
SPU_0196992,0.414890493
SPU_017197,-0.043282504
SPU_0183422,0.064107386
SPU_012017,-0.978591794
SPU_015064,-0.233254658
SPU_018342,0.01414392
SPU_0183421,-0.843591138
SPU_0183423,-0.91777499
SPU_0120210,0.169349348
SPU_012022,0.770298073
SPU_014934,0.884740888
SPU_010716,0.084619553
SPU_010471,-0.08444888
SPU_015065,-0.108297208
SPU_026318,-1.812258765
SPU_010470,3.025062256
SPU_026483,0.767452543
SPU_010351,0.225207242
SPU_013606,0.400307069
SPU_026170,0.266851923
SPU_013476,-0.081845113
SPU_015210,-1.240351878
SPU_027133,-0.181798774
SPU_0271336,1.255643648
SPU_0146068,0.622390734
SPU_011623,0.149463432
SPU_022037,-0.033150855
SPU_026949,0.346726192
SPU_016033,-1.739203443
SPU_024266,0.946344024
SPU_014384,-0.133640557
SPU_022513,-0.728476981
SPU_014385,0.47257553
SPU_025842,-0.922392569
SPU_0282191,0.247721174
SPU_028216,-0.03598098
SPU_028743,0.461590411
SPU_028734,0.391693543
SPU_025672,0.773349468
SPU_016587,-0.34244699
SPU_019081,-0.013965886
SPU_028733,-1.55841765
SPU_028737,0.061038467
SPU_028738,0.12593558
SPU_028741,0.192502886
SPU_025676,-0.813363555
SPU_016589,-0.992219972
SPU_025924,0.494769047
SPU_010965,-0.319866735
SPU_0165887,0.10262085
SPU_0165880,0.344916084
SPU_016588,0.089302527
SPU_013890,-0.536714167
SPU_016221,-2.252472639
SPU_001494,-0.115790619
SPU_005218,0.704444287
SPU_013760,-0.36134112
SPU_0043216,-0.586537261
SPU_001495,-0.470133345
SPU_015575,-0.422043927
SPU_0014940,1.910208083
SPU_006208,2.047163948
SPU_006207,1.611527388
SPU_0014937,-0.008579132
SPU_0014936,-0.848895001
SPU_0014935,0.24357332
SPU_0014934,0.38271329
SPU_0014932,-0.077461728
SPU_0014930,1.163491212
SPU_001493,0.456748994
SPU_005216,-1.53324195
SPU_0274234,-0.001770899
SPU_001794,-0.164858415
SPU_001797,-0.250622216
SPU_0017970,-1.067001856
SPU_010784,-0.513230634
SPU_000284,-0.869388197
SPU_019080,-1.063086913
SPU_024378,0.056974368
SPU_021215,0.44243808
SPU_003244,-0.269193834
SPU_003241,-1.217547188
SPU_022659,-1.039181548
SPU_0024810,-0.253747428
SPU_0024812,3.107413731
SPU_005644,-0.091498112
SPU_019952,0.13627702
SPU_012050,0.004652458
SPU_012046,0.871243794
SPU_012045,-0.468346032
SPU_016830,0.285856689
SPU_005010,0.379690028
SPU_016829,0.168349607
SPU_000832,-0.067086427
SPU_015794,-0.099528166
SPU_026329,0.621952079
SPU_026322,0.137923288
SPU_026330,-1.065876195
SPU_015798,-0.417940158
SPU_0243166,-2.320332829
SPU_003053,-0.834568757
SPU_016319,0.185941148
SPU_030139,-0.211634104
SPU_026294,0.123596102
SPU_001057,0.782078102
SPU_013835,0.048627549
SPU_0138353,-0.49262978
SPU_007203,-0.009271803
SPU_0032843,-1.199809654
SPU_0032841,0.875060212
SPU_003284,-0.198965995
SPU_005806,0.676200893
SPU_003353,0.017005866
SPU_003350,-0.073885385
SPU_025147,0.008587433
SPU_024267,1.329983534
SPU_001933,-0.625080782
SPU_021125,0.066829439
SPU_002185,0.690576161
SPU_002184,0.708841883
SPU_005517,-0.185100189
SPU_002177,-0.157043382
SPU_002178,0.042926132
SPU_025682,0.559672614
SPU_026623,0.819234857
SPU_021629,0.397140171
SPU_0216292,0.494767152
SPU_0216298,0.177019806
SPU_0216291,0.098691854
SPU_026629,-0.860893962
SPU_0266290,-0.446725056
SPU_0266291,-0.255497843
SPU_019821,0.522486283
SPU_013541,-0.590665342
SPU_016411,0.028564477
SPU_011716,-3.191981286
SPU_002149,-1.078766874
SPU_028883,0.234777388
SPU_019767,0.052582787
SPU_015194,1.113269436
SPU_0151940,-0.364597335
SPU_0151942,-0.806314042
SPU_021185,0.01978804
SPU_021188,1.78136382
SPU_023104,-0.202662359
SPU_018867,-0.02400481
SPU_000699,0.1493029
SPU_007349,0.164902216
SPU_006398,0.339859557
SPU_004542,0.053135267
SPU_010890,-0.425634331
SPU_017134,0.351431665
SPU_018815,0.14598181
SPU_019950,-0.119956286
SPU_019949,0.243133881
SPU_018814,-0.362381644
SPU_018816,0.16498009
SPU_010629,1.478143108
SPU_0106294,1.16552419
SPU_0106311,2.103136003
SPU_017261,0.004827317
SPU_017262,0.547764362
SPU_019480,-0.135919124
SPU_015212,0.20508839
SPU_011971,0.082564508
SPU_011492,0.569469505
SPU_000839,-0.076641938
SPU_000840,0.263917571
SPU_0119713,0.175189388
SPU_0119711,-0.33557578
SPU_009404,-0.072954473
SPU_0094001,0.444518143
SPU_024384,0.522710427
SPU_0094040,0.74819177
SPU_027436,-0.053892702
SPU_027437,-0.701935974
SPU_018598,-0.404309376
SPU_003493,-0.767928044
SPU_000967,-0.1706349
SPU_027435,-0.149614274
SPU_000968,0.073754566
SPU_003495,0.862256528
SPU_011491,-0.038976239
SPU_0060961,-1.713595932
SPU_0025363,-0.191422974
SPU_002536,-0.071254309
SPU_018323,-1.70275836
SPU_018322,-0.290413283
SPU_014222,-0.184295805
SPU_008353,0.096264258
SPU_0083532,-0.039939708
SPU_006564,0.272091904
SPU_025611,1.468925301
SPU_006917,-1.450109684
SPU_006916,-0.795132757
SPU_003649,0.076280715
SPU_0118041,-0.090703533
SPU_008466,-0.70587087
SPU_007701,1.093864443
SPU_0016106,2.316518985
SPU_0016104,3.230642791
SPU_001610,0.525899523
SPU_001609,-0.698797843
SPU_008635,2.411094824
SPU_002007,0.29354507
SPU_002006,1.003895804
SPU_010343,0.283434443
SPU_0103431,0.359286003
SPU_002349,0.276800794
SPU_022368,-0.182414278
SPU_0223682,-0.118397364
SPU_017470,0.189642991
SPU_0223683,-0.048808034
SPU_002410,-0.008153466
SPU_014261,0.111475067
SPU_0223680,0.154936798
SPU_018235,0.191840081
SPU_028512,0.124541174
SPU_0115885,1.728080309
SPU_0115886,0.072808202
SPU_0115882,0.649108335
SPU_027758,0.094529719
SPU_0084675,-2.263057203
SPU_0084676,-0.606431269
SPU_0084677,1.385719102
SPU_011588,-1.59945862
SPU_0115883,0.621021087
SPU_0115884,-0.992375371
SPU_019764,0.636295581
SPU_005160,1.627600627
SPU_027308,-0.835271224
SPU_008467,-0.860798971
SPU_025755,-0.014466768
SPU_016130,-0.113944531
SPU_022617,1.47377458
SPU_005208,-2.465689476
SPU_0161303,-0.45830626
SPU_0161302,1.1448724
SPU_004038,0.489002789
SPU_019954,1.022475432
SPU_004201,-0.082563462
SPU_027169,0.358564313
SPU_001225,0.378868864
SPU_010121,-0.769379033
SPU_028456,0.060193373
SPU_010943,0.102976345
SPU_013970,0.298292805
SPU_010942,-1.917285073
SPU_010938,-0.396444871
SPU_005824,1.653378086
SPU_026520,0.001580151
SPU_001570,0.297108701
SPU_0028514,0.027808473
SPU_0028518,0.997399669
SPU_002235,0.225446617
SPU_006443,-1.290176675
SPU_017008,1.191712834
SPU_017009,0.347793065
SPU_000678,0.698029557
SPU_016293,0.187238146
SPU_016285,0.640358969
SPU_013269,-0.569051683
SPU_0273262,-0.328867263
SPU_0302301,1.298734312
SPU_0302305,-0.038449318
SPU_022727,0.25420432
SPU_0100757,0.301897677
SPU_001539,1.179061427
SPU_001501,-1.520868167
SPU_000887,-2.619689171
SPU_005990,-0.723853537
SPU_005991,0.363709002
SPU_005992,0.312654484
SPU_024626,-0.881292773
SPU_008760,0.223040029
SPU_008971,-0.124088132
SPU_002781,-0.298661344
SPU_0027839,-0.014203971
SPU_018937,0.9206073
SPU_002784,1.403392592
SPU_002783,0.337407069
SPU_002782,1.792472002
SPU_018936,-0.465663694
SPU_007257,-0.483744475
SPU_010001,-2.111160777
SPU_018750,0.628037724
SPU_015287,0.259282936
SPU_016609,-0.695424188
SPU_022858,0.022363054
SPU_0209542,0.098512454
SPU_020896,-0.993018868
SPU_010762,-1.498614885
SPU_006312,-1.992403473
SPU_026897,-0.861710282
SPU_010765,-1.211683601
SPU_010766,0.153780246
SPU_002677,0.384038869
SPU_019522,-0.005194529
SPU_010430,-0.035341626
SPU_028355,1.228241581
SPU_002296,-0.690632956
SPU_024093,0.362180505
SPU_020467,0.173802918
SPU_0104302,0.883486967
SPU_011678,0.721068967
SPU_010310,0.756368565
SPU_000499,-1.406544449
SPU_000500,0.794186707
SPU_023827,0.199715818
SPU_023829,-1.037028871
SPU_016422,0.865713242
SPU_007465,0.05444203
SPU_006614,-2.509164432
SPU_027415,-0.100998644
SPU_010249,-0.167866504
SPU_019582,-0.241214916
SPU_011245,-0.666470477
SPU_007232,0.025157174
SPU_011246,-0.04081492
SPU_024494,-0.50071962
SPU_002503,-1.136651826
SPU_027375,1.10974357
SPU_002437,-0.935231976
SPU_005592,2.93743638
SPU_014107,-0.103595543
SPU_008384,0.105370459
SPU_0215929,-0.055484506
SPU_009071,0.246302971
SPU_011604.a,-1.484606548
SPU_017915,-0.500081018
SPU_019586,-0.244634312
SPU_017912,-1.421988645
SPU_006685,0.117031113
SPU_023795,0.459583563
SPU_019003,1.060728591
SPU_0066865,-0.269077325
SPU_011610,-0.093692216
SPU_011609,0.171872041
SPU_011608,0.226198935
SPU_025911,-0.813591143
SPU_011606,-1.395963876
SPU_015290,0.213526433
SPU_005417,-0.319804106
SPU_0090910,0.739969476
SPU_024349,-0.643305443
SPU_014155,0.396120816
SPU_004351,-0.348621875
SPU_010292,-0.181908881
SPU_017326,-1.737501587
SPU_004910,-0.68221262
SPU_016592,0.817780083
SPU_024233,0.138991327
SPU_0091598,-0.058040229
SPU_0091592,0.555964322
SPU_009159,-0.271246277
SPU_0181128,-0.616308713
SPU_0181121,2.267993736
SPU_0005261,-0.0418571
SPU_0005264,0.132306726
SPU_000526,0.01327871
SPU_000525,0.450652249
SPU_025871,0.68495077
SPU_011700,-0.854363124
SPU_0116995,0.367535557
SPU_021842,0.455357629
SPU_020532,-0.45393507
SPU_019018,0.535176423
SPU_009817,0.899000928
SPU_026042,-0.210482764
SPU_015811,-1.008559318
SPU_001088,-1.062482495
SPU_018557,0.110940877
SPU_0260395,-0.431743996
SPU_026041,1.343108054
SPU_017343,-0.728448614
SPU_012589,-1.481276804
SPU_0098175,0.699155173
SPU_016712,-0.415299412
SPU_009899,-0.015918853
SPU_014718,0.225080643
SPU_026686,-0.035832188
SPU_001041,-0.426978036
SPU_016711,1.795656398
SPU_009900,-0.171428539
SPU_009901,0.405389196
SPU_0120416,-0.524942609
SPU_0120414,-0.854199644
SPU_004958,0.389961249
