"geneid","binom"
"SPU_000455","0"
"SPU_000456","0"
"SPU_000458","0"
"SPU_000461","0"
"SPU_000468","0"
"SPU_000469","0"
"SPU_000471","0"
"SPU_000473","0"
"SPU_000475","0"
"SPU_000477","0"
"SPU_000478","0"
"SPU_000480","0"
"SPU_000483","0"
"SPU_000484","0"
"SPU_000485","0"
"SPU_000486","0"
"SPU_000488","0"
"SPU_000490","0"
"SPU_000493","0"
"SPU_000494","0"
"SPU_000495","0"
"SPU_000497","0"
"SPU_000498","0"
"SPU_000501","0"
"SPU_000502","0"
"SPU_000503","0"
"SPU_000508","0"
"SPU_000509","0"
"SPU_000510","0"
"SPU_000511","0"
"SPU_000513","0"
"SPU_000514","0"
"SPU_000515","0"
"SPU_000516","0"
"SPU_000518","0"
"SPU_000519","0"
"SPU_000520","0"
"SPU_000521","0"
"SPU_000522","0"
"SPU_000523","0"
"SPU_000525","0"
"SPU_000526","0"
"SPU_000529","0"
"SPU_000531","0"
"SPU_000539","0"
"SPU_000540","0"
"SPU_000542","0"
"SPU_000544","0"
"SPU_000545","0"
"SPU_000547","0"
"SPU_000548","0"
"SPU_000551","0"
"SPU_000552","0"
"SPU_000554","0"
"SPU_000555","0"
"SPU_000559","0"
"SPU_000560","0"
"SPU_000561","0"
"SPU_000562","0"
"SPU_000563","0"
"SPU_000565","0"
"SPU_000566","0"
"SPU_000568","0"
"SPU_000570","0"
"SPU_000572","0"
"SPU_000573","0"
"SPU_000574","0"
"SPU_000578","0"
"SPU_000586","0"
"SPU_000590","0"
"SPU_000591","0"
"SPU_000592","0"
"SPU_000594","1"
"SPU_000595","0"
"SPU_000596","0"
"SPU_000597","0"
"SPU_000599","0"
"SPU_000600","0"
"SPU_000601","1"
"SPU_000602","0"
"SPU_000603","0"
"SPU_000604","0"
"SPU_000607","0"
"SPU_000610","0"
"SPU_000611","0"
"SPU_000616","1"
"SPU_000617","1"
"SPU_000620","0"
"SPU_000621","0"
"SPU_000624","1"
"SPU_000625","0"
"SPU_000627","0"
"SPU_000628","0"
"SPU_000629","0"
"SPU_000630","0"
"SPU_000631","0"
"SPU_000632","0"
"SPU_000634","0"
"SPU_000635","0"
"SPU_000637","0"
"SPU_000638","0"
"SPU_000639","0"
"SPU_000640","0"
"SPU_000641","0"
"SPU_000644","1"
"SPU_000645","0"
"SPU_000648","1"
"SPU_000649","0"
"SPU_000650","0"
"SPU_000651","0"
"SPU_000652","0"
"SPU_000655","0"
"SPU_000656","0"
"SPU_000660","0"
"SPU_000661","0"
"SPU_000667","1"
"SPU_000668","0"
"SPU_000670","1"
"SPU_000671","0"
"SPU_000680","0"
"SPU_000682","0"
"SPU_000683","0"
"SPU_000684","0"
"SPU_000686","0"
"SPU_000687","0"
"SPU_000689","0"
"SPU_000690","1"
"SPU_000692","0"
"SPU_000693","0"
"SPU_000694","0"
"SPU_000696","0"
"SPU_000703","0"
"SPU_000707","0"
"SPU_000708","0"
"SPU_000709","0"
"SPU_000711","0"
"SPU_000712","0"
"SPU_000713","0"
"SPU_000714","0"
"SPU_000716","0"
"SPU_000717","1"
"SPU_000719","0"
"SPU_000722","0"
"SPU_000723","0"
"SPU_000724","0"
"SPU_000729","0"
"SPU_000731","0"
"SPU_000733","0"
"SPU_000734","0"
"SPU_000735","0"
"SPU_000736","0"
"SPU_000737","0"
"SPU_000739","0"
"SPU_000740","0"
"SPU_000741","1"
"SPU_000742","0"
"SPU_000745","0"
"SPU_000746","0"
"SPU_000749","1"
"SPU_000750","1"
"SPU_000751","0"
"SPU_000752","0"
"SPU_000753","0"
"SPU_000754","0"
"SPU_000755","1"
"SPU_000756","0"
"SPU_000757","0"
"SPU_000758","0"
"SPU_000759","0"
"SPU_000760","0"
"SPU_000763","0"
"SPU_000764","0"
"SPU_000765","0"
"SPU_000769","0"
"SPU_000770","0"
"SPU_000771","0"
"SPU_000772","0"
"SPU_000773","0"
"SPU_000774","0"
"SPU_000775","0"
"SPU_000776","0"
"SPU_000778","0"
"SPU_000780","0"
"SPU_000781","0"
"SPU_000782","0"
"SPU_000783","0"
"SPU_000784","0"
"SPU_000785","1"
"SPU_000786","0"
"SPU_000787","0"
"SPU_000788","1"
"SPU_000789","1"
"SPU_000790","0"
"SPU_000791","0"
"SPU_000792","0"
"SPU_000793","0"
"SPU_000794","0"
"SPU_000795","0"
"SPU_000796","0"
"SPU_000799","0"
"SPU_000801","0"
"SPU_000802","0"
"SPU_000806","0"
"SPU_000810","0"
