name	term	lev	seq	value
"ATP metabolic process"	GO:0046034	2	SPU_005296	0
"ATP metabolic process"	GO:0046034	2	SPU_007960	0
"ATP metabolic process"	GO:0046034	2	SPU_011119	0
"ATP metabolic process"	GO:0046034	2	SPU_012817	0
"ATP metabolic process"	GO:0046034	2	SPU_012839	0
"ATP metabolic process"	GO:0046034	2	SPU_013052	0
"ATP metabolic process"	GO:0046034	2	SPU_013135	0
"ATP metabolic process"	GO:0046034	2	SPU_013353	0
"ATP metabolic process"	GO:0046034	2	SPU_013820	0
"ATP metabolic process"	GO:0046034	2	SPU_014569	0
"ATP metabolic process"	GO:0046034	2	SPU_014856	0
"ATP metabolic process"	GO:0046034	2	SPU_016414	0
"ATP metabolic process"	GO:0046034	2	SPU_016486	0
"ATP metabolic process"	GO:0046034	2	SPU_016882	1
"ATP metabolic process"	GO:0046034	2	SPU_017605	0
"ATP metabolic process"	GO:0046034	2	SPU_020959	0
"ATP metabolic process"	GO:0046034	2	SPU_025815	0
"ATP metabolic process"	GO:0046034	2	SPU_027281	0
"ATP metabolic process"	GO:0046034	2	SPU_027563	0
"ATP metabolic process"	GO:0046034	2	SPU_028873	0
"pseudouridine synthesis"	GO:0001522	6	SPU_002194	0
"pseudouridine synthesis"	GO:0001522	6	SPU_004259	0
"pseudouridine synthesis"	GO:0001522	6	SPU_005104	0
"pseudouridine synthesis"	GO:0001522	6	SPU_005606	0
"pseudouridine synthesis"	GO:0001522	6	SPU_005944	0
"pseudouridine synthesis"	GO:0001522	6	SPU_007956	0
"pseudouridine synthesis"	GO:0001522	6	SPU_018149	0
"pseudouridine synthesis"	GO:0001522	6	SPU_018194	0
"pseudouridine synthesis"	GO:0001522	6	SPU_018458	0
"pseudouridine synthesis"	GO:0001522	6	SPU_019552	0
"pseudouridine synthesis"	GO:0001522	6	SPU_022206	0
"pseudouridine synthesis"	GO:0001522	6	SPU_023326	0
"pseudouridine synthesis"	GO:0001522	6	SPU_025963	0
"pseudouridine synthesis"	GO:0001522	6	SPU_026933	1
"pseudouridine synthesis"	GO:0001522	6	SPU_027247	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_001493	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_001494	1
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_003110	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_004204	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_004713	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_005470	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_008203	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_008689	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_010098	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_012228	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_012696	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_015182	1
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_016042	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_017502	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_018369	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_020333	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_021195	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_026031	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_027844	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_027974	0
"regulation of cellular component organization"	GO:0051128;GO:0033043	2	SPU_028902	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_001513	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_003829	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_004779	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_004780	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_005691	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_006882	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_007092	1
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_008251	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_008575	0
"cellular homeostasis"	GO:0045454;GO:0019725	2	SPU_009349	0
